diver,nationality,gender,first_compet,last_compet,nb_compet,nb_bo,nb_bo_cwt,nb_bo_cwtb,nb_bo_cnf,nb_bo_fim,nb_red,nb_dives,%_bo,%_bo_cwt,%_bo_cwtb,%_bo_cnf,%_bo_fim
Kyoungmi Choi ,KOR,F,2018-06-22,2022-09-17,6,0,0,0,0,0,1,11,0.0,0.0,0.0,0.0,0.0
Kyunghun Kim ,KOR,M,2018-06-22,2022-10-09,7,2,1,1,0,0,2,14,14.285714285714286,7.142857142857143,7.142857142857143,0.0,0.0
Lidija Lijic ,HRV,F,2010-04-29,2021-07-14,8,0,0,0,0,0,0,14,0.0,0.0,0.0,0.0,0.0
Lily Crespy ,FRA,F,2017-05-23,2022-09-11,19,0,0,0,0,0,2,44,0.0,0.0,0.0,0.0,0.0
Lin Lan Lien ,TPE,F,2017-04-14,2023-03-31,7,0,0,0,0,0,1,27,0.0,0.0,0.0,0.0,0.0
Linda Paganelli ,ITA,F,2016-11-03,2022-05-29,18,0,0,0,0,0,4,37,0.0,0.0,0.0,0.0,0.0
Linde Muyshondt ,BEL,F,2017-07-22,2021-09-12,7,1,0,0,1,0,3,14,7.142857142857143,0.0,0.0,7.142857142857143,0.0
Loic Vuillemin ,CHE,M,2017-10-24,2023-05-22,13,0,0,0,0,0,1,51,0.0,0.0,0.0,0.0,0.0
Luca Malaguti ,CAN,M,2018-08-18,2023-06-02,13,0,0,0,0,0,2,38,0.0,0.0,0.0,0.0,0.0
Marc Andre Piche ,CAN,M,2017-09-16,2023-06-30,7,0,0,0,0,0,2,24,0.0,0.0,0.0,0.0,0.0
Marcin Baranowski ,POL,M,2017-08-17,2021-08-05,8,0,0,0,0,0,0,27,0.0,0.0,0.0,0.0,0.0
Maria Noella Zosa ,PHL,F,2017-08-26,2023-05-26,6,0,0,0,0,0,2,11,0.0,0.0,0.0,0.0,0.0
Marianna Gillespie ,FRA,F,2016-04-22,2022-08-23,22,2,2,0,0,0,4,51,3.9215686274509802,3.9215686274509802,0.0,0.0,0.0
Mariko Kaji ,JPN,F,2018-11-04,2022-06-25,8,0,0,0,0,0,1,19,0.0,0.0,0.0,0.0,0.0
Marine Simonis ,BEL,F,2019-06-22,2023-06-25,9,1,0,0,1,0,1,22,4.545454545454546,0.0,0.0,4.545454545454546,0.0
Marion Chavanne ,FRA,F,2017-07-20,2023-07-20,13,0,0,0,0,0,3,27,0.0,0.0,0.0,0.0,0.0
Martin Zajac ,SVK,M,2006-08-19,2021-05-15,11,2,1,1,0,0,3,32,6.25,3.125,3.125,0.0,0.0
Mateusz Malina ,POL,M,2017-10-24,2022-08-11,13,0,0,0,0,0,3,36,0.0,0.0,0.0,0.0,0.0
Mathieu Maraio ,FRA,M,2016-11-10,2023-06-25,15,5,1,0,3,1,9,33,15.151515151515152,3.0303030303030303,0.0,9.090909090909092,3.0303030303030303
Matt Anderson ,AUS,M,2017-08-08,2022-09-11,8,0,0,0,0,0,1,14,0.0,0.0,0.0,0.0,0.0
Matthieu Duvault ,CAN,M,2018-05-29,2022-08-10,10,1,0,0,1,0,9,41,2.4390243902439024,0.0,0.0,2.4390243902439024,0.0
Matti Eronen ,FIN,M,2020-11-07,2023-08-14,7,1,0,1,0,0,2,35,2.857142857142857,0.0,2.857142857142857,0.0,0.0
Melissa Ponder ,USA,F,2020-09-19,2022-09-25,6,0,0,0,0,0,1,18,0.0,0.0,0.0,0.0,0.0
Michel Filinis2 ,BRA,M,2016-08-16,2021-09-17,22,2,1,0,0,1,4,58,3.4482758620689653,1.7241379310344827,0.0,0.0,1.7241379310344827
Mieun Cho ,KOR,F,2016-04-30,2021-10-31,6,0,0,0,0,0,1,13,0.0,0.0,0.0,0.0,0.0
Mingchun Huang ,TPE,M,2017-04-15,2023-03-31,12,3,2,0,1,0,6,30,10.0,6.666666666666667,0.0,3.3333333333333335,0.0
Minja Marinkovic ,DEU,M,2019-08-24,2023-07-02,7,0,0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0
Misuzu Okamoto ,JPN,F,2016-04-22,2023-03-17,16,0,0,0,0,0,3,51,0.0,0.0,0.0,0.0,0.0
Mohd Azam Abdul Hamid ,MYS,M,2016-09-16,2022-06-26,20,3,0,0,2,1,6,39,7.6923076923076925,0.0,0.0,5.128205128205129,2.5641025641025643
